year,donor,recipient,amount
1998,Australia,Indonesia,103323
2003,Australia,Singapore,297.969
2007,Australia,Colombia,139556
2008,Australia,Bilateral,44685.5
2004,Australia,Solomon Islands,62942.8
1999,Australia,Papua New Guinea,35199.6
2010,Australia,Papua New Guinea,86084.5
2007,Australia,Solomon Islands,30313.2
2004,Australia,Cambodia,858311
2007,Austria,Uganda,9836.32
2009,Austria,Africa,5974.79
2002,Austria,Nicaragua,22220.3
2001,Austria,Algeria,155768
1998,Austria,Bilateral,30579.6
2008,Austria,Malawi,21105.3
2005,Austria,Nicaragua,689009
2009,Austria,Uganda,20888.5
2001,Austria,Africa,730622
2001,Austria,Mozambique,637610
2004,Belgium,El Salvador,315565
2008,Belgium,Bilateral,211247
2009,Belgium,Congo DemRep,115955
2010,Belgium,Senegal,3431.15
2010,Belgium,Peru,34686.8
2008,Belgium,Uganda,97175.4
2004,Belgium,Peru,18504.7
2006,Belgium,Indonesia,21302.8
2003,Belgium,Bilateral,68852.7
2001,Belgium,Burundi,9023.14
2008,Belgium,Africa,2816.62
2003,Belgium,Nepal,978.04
2008,Belgium,Benin,86604
2002,Belgium,Senegal,1710.86
2010,Belgium,Bilateral,745976
2010,Belgium,Guatemala,139997
2004,Belgium,Congo DemRep,6265.15
2001,Belgium,Zambia,22974.1
2009,Belgium,Bilateral,4177.69
2006,Belgium,Guinea,13046.1
2008,Belgium,Ethiopia,77333.1
2009,Belgium,South Africa,139522
2005,Belgium,Algeria,399557
2010,Canada,Zimbabwe,44432.4
2003,Canada,Nepal,10080.5
2009,Canada,Indonesia,191271
2009,Canada,North of Sahara,81858
2010,Canada,Guatemala,67544
2009,Canada,Congo DemRep,993865
2009,Canada,Bilateral,438212
2007,Canada,Bilateral,22313.8
2008,Canada,Bilateral,111528
2009,Canada,Bilateral,7537.25
2010,Canada,Peru,4886.71
2009,Canada,Bilateral,11042.9
2010,Canada,Laos,28629.5
2003,Canada,Asia,12838.4
2004,Canada,Guyana,1829230
2007,Canada,Guyana,698868
1992,Canada,Bhutan,290776
